Name,Product Type,Internal Category, Machine Drawing No,Casting Drawing No,Size,Material,OD (mm) , L (mm) ,ID (mm) 
EYE BOLT M8x30L,Stockable Product,EYE BOLT,,,M8x30L,FORGED STEEL,,,
WGB HOUSING MLW-13/F16,Stockable Product,WGB HOUSING,042-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
WGB COVER MLW-13/F16,Stockable Product,WGB COVER,043-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
WORMWHEEL ø 125x108L - EN8,Stockable Product,WORMWHEEL,038-04-M/R0,,,EN8,,,
WORM ø 55x83L - EN19,Stockable Product,WORM,004-03-M/R0,,,EN19,,,
WORM SHAFT ø 30x220L - EN8,Stockable Product,WORM SHAFT,005-04-M/R0,,,EN8,,,
HANDWHEEL ø 600mm,Stockable Product,HANDWHEEL,011-01-M/R0,,ø 600mm,M.S. FABRICATED,,,
SPIRAL PIN ø 6x32,Stockable Product,SPIRAL PIN,,,ø 6x32,STANDARD,,,
BEARING AXK 2035+AS+AS,Stockable Product,BEARING,,,AXK 2035+AS+AS,STANDARD,,,
O RING ID 86mm x 3mm,Stockable Product,O RING,,,ID 86mm x 3mm C/S,NITRILE RUBBER,,,
ALLEN BOLT M10x25L,Stockable Product,ALLEN BOLT,,,M10x25L,H.T. Gr. 10.9,,,
ALLEN BOLT M10x30L,Stockable Product,ALLEN BOLT,,,M10x30L,H.T. Gr. 10.9,,,
HEX BOLT M8x15L - M.S,Stockable Product,HEX BOLT,,,M8x15L,M.S.,,,
WGB HOUSING MLW-13/F25,Stockable Product,WGB HOUSING,042-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
WGB COVER MLW-13/F25,Stockable Product,WGB COVER,043-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
WORM ø 55x79L - EN19,Stockable Product,WORM,004-03-M/R0,,,EN19,,,
WORM SHAFT ø 30x266L - EN8,Stockable Product,WORM SHAFT,005-04-M/R0,,,EN8,,,
BUSH ø 30x22L,Stockable Product,BUSH,008-07-M/R0,,ø 30x22L,BRASS,,,
WGB HOUSING MLW-60/F35,Stockable Product,WGB HOUSING,001-02-M/R0,,,S.G.I. IS1865 Gr. 500/7,,,
WGB COVER MLW-60/F35,Stockable Product,WGB COVER,002-02-M/R0,,,S.G.I. IS1865 Gr. 500/7,,,
WORMWHEEL MLW-60/F35,Stockable Product,WORMWHEEL,138-02-M/R0,003-02-C/R0,,S.G.I. IS1865 Gr. 600/3,,,
WORM ø 120x106L - EN19,Stockable Product,WORM,004-03-M/R0,,,EN19,,,
WORM SHAFT ø 50x492L - EN8,Stockable Product,WORM SHAFT,005-04-M/R0,,,EN8,,,
SPACER ø 75x17L,Stockable Product,SPACER,007-04-M/R0,,,EN8,,,
HANDWHEEL ø 1000mm,Stockable Product,HANDWHEEL,,011-01-C/R0,ø 1000mm,S.G.I. IS1865 Gr. 500/7,,,
"SPIRAL PIN ø 1/2""x80L",Stockable Product,SPIRAL PIN,,,"ø 1/2""x80L",STANDARD,,,
BEARING NTB 7095+GS+WS,Stockable Product,BEARING,,,NTB 7095+GS+WS,STANDARD,,,
BEARING KT 455320,Stockable Product,BEARING,,,KT 455320,STANDARD,,,
HEX BOLT M10x30L - M.S,Stockable Product,HEX BOLT,,,M10x30L,M.S.,,,
PARALLEL KEY 12x8x56,Stockable Product,PARALLEL KEY,,,12x8x56,C-40,,,
WASHER ID 9 x OD 45 x 1 THK,Stockable Product,WASHER,,,ID 9 x OD 45 x 1 THK,M.S.,,,
WGB HOUSING MLW-30/F30,Stockable Product,WGB HOUSING,001-02-M/R0,,,S.G.I. IS1865 Gr. 500/7,,,
WGB COVER MLW-30/F30,Stockable Product,WGB COVER,002-02-M/R0,,,S.G.I. IS1865 Gr. 500/7,,,
WORMWHEEL MLW-30/F30,Stockable Product,WORMWHEEL,038-02-M/R0,003-02-C/R0,,S.G.I. IS1865 Gr. 600/3,,,
WORM ø 95x83L - EN19,Stockable Product,WORM,004-03-M/R0,,,EN19,,,
WORM SHAFT ø 45x341L - EN8,Stockable Product,WORM SHAFT,005-04-M/R0,,,EN8,,,
SPACER ø 60x10L,Stockable Product,SPACER,007-04-M/R0,,,EN8,,,
HANDWHEEL ø 750mm,Stockable Product,HANDWHEEL,,011-01-C/R0,ø 750mm,S.G.I. IS1865 Gr. 500/7,,,
"SPIRAL PIN ø 1/2""x70L",Stockable Product,SPIRAL PIN,,,"ø 1/2""x70L",STANDARD,,,
BEARING NTB 6085+GS+WS,Stockable Product,BEARING,,,NTB 6085+GS+WS,STANDARD,,,
BEARING KT 404527,Stockable Product,BEARING,,,KT 404527,STANDARD,,,
HEX BOLT M8x30L - M.S,Stockable Product,HEX BOLT,,,M8x30L,M.S.,,,
WGB HOUSING MLW-15/F30,Stockable Product,WGB HOUSING,001-02-M/R0,,,S.G.I. IS1865 Gr. 500/7,,,
WGB COVER MLW-15/F30,Stockable Product,WGB COVER,002-02-M/R0,,,S.G.I. IS1865 Gr. 500/7,,,
WORMWHEEL MLW-15/F30,Stockable Product,WORMWHEEL,038-02-M/R0,003-02-C/R0,,S.G.I. IS1865 Gr. 600/3,,,
WGB HOUSING SLM-09/F12,Stockable Product,WGB HOUSING,101-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
WGB COVER SLM-09/F12,Stockable Product,WGB COVER,002-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
QUADRANT SLM-09/F12,Stockable Product,QUADRANT,103-02-M/R0,,,S.G.I. IS1865 Gr. 500/7,,,
WORM ø 30x57L - EN19,Stockable Product,WORM,004-03-M/R0,,,EN19,,,
WORM SHAFT ø 20x158L - EN8,Stockable Product,WORM SHAFT,005-04-M/R0,,,EN8,,,
SPIRAL PIN ø 5x20L,Stockable Product,SPIRAL PIN,,,ø 5x20L,STANDARD,,,
BEARING AXK 1528+AS+AS,Stockable Product,BEARING,,,AXK 1528+AS+AS,STANDARD,,,
