Product,Bom Lines / Product Quantity,Bom Lines / Used For,Bom Lines / Product
,1,FOR 2 & 5,BUSH ø 40x43L
,2,,THRUST RACES AS 3047
,130,,STEEL BALL ø 6mm
,2,,O RING ID 145mm x 4mm
,1,FOR 4,CIRCLIP ø 30mm
,6,FOR 1 & 2,HEX BOLT M8x30L - C.S. Gr. 4.0
,2,FOR 1 & 2,HEX BOLT M8x60L - C.S. Gr. 4.0
,1,FOR 4 & 6,HEX BOLT M8x15L - C.S. Gr. 4.0
,1,FOR 4,PARALLEL KEY 8x7x40
,1,FOR 6,INDICATOR PLATE ø 50mm
,1,FOR 6 & 15,WASHER ID 9 x OD 35 x 1 THK
MLS-06/F30 (EO),1,,SGB HOUSING MLS-06/F30
,1,,SGB COVER MLS-06/F30
,1,,SPUR GEAR MLS-06/F30
,1,,PINION SHAFT ø 60x260L - EN19
,2,(TOP/BOTTOM),HARD WASHER OD 170 x ID 145 x 7 THK
,1,FOR 1 & 5,BUSH ø 40x19L
,1,FOR 2 & 5,BUSH ø 40x43L
,2,,THRUST RACES AS 3047
,130,,STEEL BALL ø 6mm
,2,,O RING ID 145mm x 4mm
,6,FOR 1 & 2,HEX BOLT M8x30L - C.S. Gr. 4.0
,2,FOR 1 & 2,ALLEN BOLT M8x45L - C.S. Gr. 4.0
,1,FOR 4,PARALLEL KEY 8x7x40
ORS-05/F25,1,,SGB HOUSING ORS-05/F25
,1,,SGB COVER ORS-05/F25
,1,,SPUR GEAR ORS-05/F25
,1,,INTERMEDIATE GEAR ø 105x39L - EN8
,1,,INTERMEDIATE SHAFT ø 55x85L - EN19
,1,(EO),PINION SHAFT ø 45x223L - EN19
,2,,HARD WASHER OD 117 x ID 97 x 7 THK
,1,FOR 1 & 5,BUSH ø 45x35L
,1,FOR 1 & 6,BUSH ø 30x30L
,1,FOR  2 & 5,BUSH ø 45x24L
,1,FOR 2 & 6,BUSH ø 30x24L
,2,,THRUST RACES AS 2035
,2,,THRUST RACES AS 3552
,104,,STEEL BALL ø 6mm
,2,,O RING ID 100mm x 3mm
,9,FOR 1 & 2,HEX BOLT M6x30L - C.S. Gr. 4.0
,3,FOR 1 & 2,ALLEN BOLT M6x30L
,1,FOR 6,PARALLEL KEY 6x6x40
,1,,SGB HOUSING ORS-05/F30
,1,,SGB COVER ORS-05/F30
,1,,SPUR GEAR ORS-05/F30
,1,,INTERMEDIATE GEAR ø 105x57L - EN8
,1,,INTERMEDIATE SHAFT ø 55x103L - EN19
,1,(EO),PINION SHAFT ø 45x242L - EN19
,2,,HARD WASHER OD 145 x ID 120 x 6 THK
,1,FOR 1 & 5,BUSH ø 45x35L
,1,FOR 1 & 6,BUSH ø 30x30L
,1,FOR  2 & 5,BUSH ø 45x24L
